title,url,current_price,Noise Cancellation,Water Resistant,Charging Interface,Bluetooth Version,Microphone,Capacity for buds,Capacity for Case
XINJI STONE M3 TWS EARBUDS,https://priceoye.pk/wireless-earbuds/xinji/xinji-stone-m3-tws-earbuds,4349,Yes,No,No,V5.3,Yes,30 mAh,300mAh
Lenovo PD1X Pro Wireless Earbuds,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-pd1x-pro-wireless-earbuds,2899,No,No,No,V5.3,Yes,35mAh,280mAh
OnePlus buds 3,https://priceoye.pk/wireless-earbuds/oneplus/oneplus-buds-3,18699,Yes,Yes,Type-C,v5.3,Yes,58mAh,520mAh
Zero Rover Pro Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-rover-pro-earbuds,3949,Yes,Yes,Type-C,V5.3,No,40mAh,600mAh
JBL Wave Beam True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/jbl/jbl-wave-beam-true-wireless-earbuds,11299,No,Yes,Type-C,V5.2,Yes,48mAh,No
Infinix XE28 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/infinix/infinix-xe28-wireless-earbuds,6699,Yes,Yes,Type-C,V5.3,Yes,46mAh,460mAh
Zero Carbon Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-carbon-earbuds,3899,Yes,Yes,No,V5.3,Yes,35mAh,320mAh
I9s Pro Wireless Stereo Earbuds,https://priceoye.pk/wireless-earbuds/assorted/i9s-pro-wireless-stereo-earbuds,799,No,No,Type-C,V5.0,Yes,30mAh,500mAh
Samsung Galaxy Buds 3,https://priceoye.pk/wireless-earbuds/samsung/samsung-galaxy-buds3,21299,Yes,Yes,Type-C,V5.0,No,48mAh,61mAh
Hottu HOT TS21 Wireless Earphone,https://priceoye.pk/wireless-earbuds/hottu/hottu-hot-ts21-wireless-earphone,3849,Yes,Yes,Type-C,V5.3,No,No,600mAh
Buds 3 Pro Tws Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/buds-3-pro-tws-wireless-earbuds,1899,Yes,Yes,Type-C,V5.4,Yes,No,No
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Infinix XBuds 3 Loop Wireless Earbuds XEOE1,https://priceoye.pk/wireless-earbuds/infinix/infinix-xbuds-3-loop-wireless-earbuds-xeoe1,7799,Yes,Yes,Type-C,V5.3,Yes,75mAh,400mAh
At08 Ultra ENC Earbuds,https://priceoye.pk/wireless-earbuds/assorted/at08-ultra-enc-earbuds,1649,Yes,No,No,V5.3,Yes,30 mAh,250mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
BQ40 HIFI Sound Quality Fingerprint Touch Earbuds,https://priceoye.pk/wireless-earbuds/assorted/bq40-hifi-sound-quality-fingerprint-touch-earbuds,1699,Yes,Yes,Wireless Charging,V5.3,Yes,45mAh,200mAh
YW08 Smart LCD Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/yw08-smart-lcd-wireless-earbuds,1999,Yes,Yes,Type-C,V5.3,Yes,30mAh,300mAh
Infinix XE33 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/infinix/infinix-xe33-wireless-earbuds,4199,Yes,No,Type-C,V5.3,Yes,30 mAh,300mAh
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Zero Nebula Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-nebula-earbuds,8949,Yes,Yes,Type-C,V5.3,Yes,40mAh,400mAh
QCY Melobuds 2 ANC Earbuds,https://priceoye.pk/wireless-earbuds/qcy/qcy-melobuds-2-anc-earbuds,6249,Yes,Yes,Type-C,V5.4,Yes,35mAh,380mAh
Pro 6s Tws Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/assorted/pro-6s-tws-bluetooth-earbuds,1299,No,No,Type-C,V5.0,Yes,30mAh,280mAh
Buds Pro 4 TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/buds-pro-4-tws-earbuds,2199,No,Yes,Type-C,V5.2,Yes,No,No
Papada A4 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/papada-a4-tws-wireless-earbuds,2399,No,Yes,Type-C,V5.0,Yes,No,No
Multi Functionality,https://priceoye.pk/wireless-earbuds/assorted/air88-earsbuds,1299,Yes,Yes,Type-C,V5.0,Yes,30mah,200mah
V8 Business Wireless Stereo Bluetooth Headset With Microphone,https://priceoye.pk/wireless-earbuds/assorted/v8-business-wireless-stereo-bluetooth-headset-with-microphone,2099,No,No,Micro-USB,V4.0,Yes,No,No
Airox E7 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/airox/airox-e7-wireless-earbuds,2499,No,No,No,V5.1,Yes,No,No
MY06 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/my06-tws-wireless-earbuds,2899,Yes,Yes,Type-C,V5.4,Yes,No,No
Oraimo SpaceBuds Z True Wireless Earbuds (OTW-625),https://priceoye.pk/wireless-earbuds/oraimo/oraimo-spacebuds-z-true-wireless-earbuds-otw-625,4199,Yes,Yes,Type-C,V5.4,Yes,No,No
Tm10 Stereo True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/tm10-earbuds-stereo-true-wireless,2129,No,Yes,Type-C,V5.0,Yes,35mAh,200mAh
Dany Airdots 300 Pro,https://priceoye.pk/wireless-earbuds/dany/dany-airdots-300-pro,3899,Yes,Yes,Type-C,V5.4,No,40mAh,650 mAh
Soundpeats Clear-Dots True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-clear-dots-true-wireless-earbuds,5999,Yes,Yes,Type-C,V5.3,Yes,No,No
Zero AURA Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-aura-earbuds,3799,Yes,Yes,Type-C,v5.3,Yes,40*2mAh,300mAh
Mpow MX1 True Wireless Earbuds,https://priceoye.pk/wireless-earbuds/mpow/mpow-mx1-true-wireless-earbuds,3149,Yes,Yes,Type-C,V5.0,Yes,30 mAh,No
Zero Arcade 900 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-arcade-900-wireless-earbuds,5949,Yes,Yes,Type-C,V5.3,Yes,No,550mAh
Tagg Rogue 200GT Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/tagg-rogue-200gt-wireless-earbuds,2499,Yes,Yes,Type-C,V5.0,Yes,No,300mAh
Bluks BX-570 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/bluks/bluks-bx-570-wireless-earbuds,2999,Yes,No,Type-C,V5.4,Yes,30mAh,350mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Sovo Fix Pro SBT-918 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/sovo/sovo-fix-pro-sbt-918-wireless-earbuds,2999,No,Yes,Type-C,V5.3,Yes,No,No
P9 pro max Wireless Headset,https://priceoye.pk/wireless-earbuds/assorted/p9-pro-max-wireless-headset,999,Yes,No,Yes,No,Yes,400mAh,No
Zero Zenith Headphones,https://priceoye.pk/wireless-earbuds/zero/zero-zenith-headphones,7949,No,No,Type-C,V5.3,Yes,No,800mAh
Oraimo SpaceBuds Neo+ OTW-323P Wireless Earbuds,https://priceoye.pk/wireless-earbuds/oraimo/oraimo-spacebuds-neo-otw-323p-wireless-earbuds,4649,Yes,Yes,Type-C,V5.4,Yes,No,No
Joyroom True Wireless Earphone (JR-T03S),https://priceoye.pk/wireless-earbuds/joyroom/joyroom-true-wireless-earphone-jr-t03s,6799,Yes,No,No,V5.0,Yes,45mAh,350mAh
STN-28 Cat Claws Wireless Headphone,https://priceoye.pk/wireless-earbuds/assorted/stn-28-cat-claws-wireless-headphone,1599,No,No,Micro-USB,V5.0,Yes,No,No
S8 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/s8-tws-wireless-earbuds,1299,Yes,No,Type-C,V5.0,Yes,40mAh,300mAh
Soundpeats Air4 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-air4-wireless-earbuds,11299,Yes,Yes,Type-C,v5.3,Yes,35*2mAh,330mAh
Dany Matrix Airdots 400,https://priceoye.pk/wireless-earbuds/dany/dany-matrix-airdots-400,3899,Yes,Yes,Type-C,V5.4,No,35mAh,600mAh
Oppo Enco Air 3I Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/oppo/oppo-enco-air-3i-wireless-tws-earbuds,6499,Yes,Yes,Type-C,V5.3,Yes,32mAh,480mAh
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
N03 Round TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/n03-round-tws-wireless-earbuds,2099,No,No,Type-C,V5.2,Yes,25mAh,300mAh
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
A10 Pro Touchscreen LED Display Earbuds,https://priceoye.pk/wireless-earbuds/assorted/a10-pro-touchscreen-led-display-earbuds,2199,Yes,Yes,Type-C,V5.3,Yes,No,No
XO X13 Magic Ring TWS Bluetooth Earbuds,https://priceoye.pk/wireless-earbuds/xo/xo-x13-magic-ring-tws-bluetooth-earbuds,2949,No,No,Type-C,v5.1,Yes,30mAh,250mAh
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Lecoo C1 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/lecoo-c1-tws-wireless-earbuds,1299,No,No,Type-C,V5.1,Yes,30mAh,200mAh
Dany Airdots 200 Curve Pro,https://priceoye.pk/wireless-earbuds/dany/dany-airdots-200-curve-pro,3599,Yes,Yes,Type-C,v5.3,Yes,35*2mAh,320mAh
UB-30 With Pouch Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/ub-30-with-pouch-wireless-tws-earbuds,1299,No,Yes,Type-C,V5.3,Yes,No,No
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Oraimo FreePods Neo True Wireless Earbuds (OTW-330S),https://priceoye.pk/wireless-earbuds/oraimo/oraimo-freepods-neo-true-wireless-earbuds-otw-330s,2899,Yes,Yes,Type-C,V5.3,Yes,No,No
Zero Quantum ANC Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-quantum-anc-earbuds,5949,Yes,Yes,Type-C,V5.3,Yes,No,No
M11 Mini Smart Bluetooth Headset,https://priceoye.pk/wireless-earbuds/assorted/m11-mini-smart-bluetooth-headset,599,No,Yes,Type-C,V5.2,Yes,55mAh,No
P9 Wireless On-Ear Stereo Earphones,https://priceoye.pk/wireless-earbuds/assorted/p9-wireless-on-ear-stereo-earphones,999,No,No,Micro-USB,V5.0,Yes,No,400mAh
EarFun Air Wireless Earbuds,https://priceoye.pk/wireless-earbuds/earfun/earfun-air-wireless-earbuds,12199,No,Yes,Type-C,V5.0,Yes,No,300mAh
Ronin R-7105 Warrior Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-7105-warrior-earbuds,5449,Yes,Yes,Type-C,V5.4,Yes,40mAh,400mAh
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Cats Ear Wireless Headphones,https://priceoye.pk/wireless-earbuds/assorted/cats-ear,1999,Yes,No,Type-C,V5.1,Yes,400mAh,No
Air37 Crystal Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/air37-crystal-wireless-earbuds,1299,No,No,Type-C,V5.0,Yes,30mAh,200mAh
TWS-K81 Earbuds with Labubu Doll Gift Set,https://priceoye.pk/wireless-earbuds/assorted/tws-k81-earbuds-with-labubu-doll-gift-set,1849,No,Yes,Type-C,v5.4,Yes,No,No
V-106 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/v-106-tws-wireless-earbuds,2299,No,No,Type-C,V5.0,Yes,30mAh,No
Infinix XE29 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/infinix/infinix-xe29-wireless-earbuds,5849,No,No,Type-C,V5.1,Yes,No,400mAh
PW-26 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/pw-26-tws-wireless-earbuds,1049,Yes,No,Type-C,V5.3,Yes,No,No
Hottu HOT TS12 Wireless Earphone,https://priceoye.pk/wireless-earbuds/hottu/hottu-hot-ts12-wireless-earphone,3649,Yes,Yes,Type-C,V5.3,No,30 mAh,400mAh
Redmi Buds 6 Pro,https://priceoye.pk/wireless-earbuds/xiaomi/redmi-buds-6-pro,15199,Yes,Yes,Type-C,V5.3,Yes,54mAh,480mAh
E10 TWS Wireless Gaming Earbuds,https://priceoye.pk/wireless-earbuds/assorted/e10-tws-wireless-gaming-earbuds,1799,Yes,Yes,Type-C,V5.0,Yes,40mAh,400mAh
OnePlus Buds 4,https://priceoye.pk/wireless-earbuds/oneplus/oneplus-buds-4,22499,Yes,Yes,Type-C,V5.4,Yes,62mAh,530mAh
F200 OWS Sports Ear Clip Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/f200-ows-sports-ear-clip-wireless-earbuds,1599,Yes,Yes,Type-C,V5.3,Yes,No,No
JBL 770NC Wireless Headphones,https://priceoye.pk/wireless-earbuds/jbl/jbl-770nc-wireless-headphones,19999,Yes,No,Type-C,V5.3,Yes,850 mAh,No
POP-2030 Pro Tws Earbuds,https://priceoye.pk/wireless-earbuds/assorted/pop-2030-pro-tws-earbuds,1949,No,No,Type-C,V5.3,Yes,No,360mAh
Zero Snap Zbuds,https://priceoye.pk/wireless-earbuds/zero/zero-snap-zbuds,6949,Yes,Yes,Type-C,V5.3,Yes,50 mAh,480 mAh
Anker Soundcore Liberty 4 Pro wireless Earbuds,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-liberty-4-pro-wireless-earbuds,24999,Yes,Yes,Type-C,V5.3,No,30 mAh,No
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Bose Ultra Open Earbuds,https://priceoye.pk/wireless-earbuds/bose/bose-ultra-open-earbuds,80999,No,Yes,Type-C,V5.3,Yes,No,No
Air AAA max Wireless Headset,https://priceoye.pk/wireless-earbuds/assorted/air-aaa-max-wireless-headset,2199,No,Yes,Yes,V5.0,Yes,No,No
Excellent Audio Clarity,https://priceoye.pk/wireless-earbuds/zero/zero-thunder-earbuds,3899,Yes,Yes,No,V5.3,Yes,40mAh,380mAh
Zero Arcade Beast Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-arcade-beast-earbuds,5449,Yes,Yes,Type-C,V5.4,Yes,40mAh,400mAh
Monster XKT26 ANC TWS Gaming Wireless Earbuds,https://priceoye.pk/wireless-earbuds/monster/monster-xkt26-anc-tws-gaming-wireless-earbuds,4799,Yes,Yes,Type-C,V5.4,Yes,40mAh,300mAh
Auriculares TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/airox-auriculares-tws-earbuds,1499,Yes,Yes,Type-C,V5.3,Yes,No,200mAh
Airox E3 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/airox/airox-e3-wireless-earbuds,2699,No,No,No,V5.0,Yes,No,No
Hottu TWS Earbuds HOT-TS20,https://priceoye.pk/wireless-earbuds/hottu/hottu-tws-earbuds-hot-ts20,3649,Yes,No,Type-C,v5.3,Yes,No,250mAh
QCY H2 Pro Wireless Headphones,https://priceoye.pk/wireless-earbuds/qcy/qcy-h2-pro-wireless-headphones,8499,No,Yes,Type-C,V5.3,Yes,No,400 mAh
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
DX-18 Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/dx-18-wireless-tws-earbuds,2099,No,No,Type-C,V5.0,Yes,50mAh,200mAh
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
Soundpeats True Capsule 3 Pro Earbuds,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-true-capsule-3-pro-earbuds,11499,Yes,Yes,Type-C,v5.3,Yes,35*2mAh,500mAh
NeePho LCD TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/neepho-lcd-tws-wireless-earbuds,1799,No,Yes,Type-C,V5.3,Yes,30mAh,320mAh
G04 ANC Headset Noise Cancelling Earbuds Wireless  LCD Touch Screen Earbuds,https://priceoye.pk/wireless-earbuds/assorted/g04-anc-headset-noise-cancelling-earbuds-wireless-lcd-touch-screen-earbuds,2299,Yes,Yes,No,V5.3,Yes,No,No
Faster True Wireless Noise Reduction Earbuds (E20),https://priceoye.pk/wireless-earbuds/faster/faster-true-wireless-noise-reduction-earbuds-e20,3899,Yes,Yes,Type-C,V5.1,Yes,30 mAh,600 mAh
Morui MB-H2 Rio Wireless Earbuds,https://priceoye.pk/wireless-earbuds/morui/morui-mb-h2-rio-wireless-earbuds,2799,Yes,No,Type-C,V5.3,Yes,55mAh,350mAh
Audionic BattleBuds Lite,https://priceoye.pk/wireless-earbuds/audionic/audionic-battlebuds-lite,3999,Yes,Yes,Type-C,V5.4,Yes,35mAh,320mAh
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
Hottu TWS Earbuds HOT-TS17,https://priceoye.pk/wireless-earbuds/hottu/hottu-tws-earbuds-hot-ts17,4299,Yes,No,Type-C,v5.1,Yes,No,300mAh
XO G14 ENC Noise Canceling Wireless Earbuds,https://priceoye.pk/wireless-earbuds/xo/xo-g14-enc-noise-canceling-wireless-earbuds,3699,No,No,No,V5.3,Yes,No,No
DX-32 Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/dx-32-wireless-tws-earbuds,1549,Yes,Yes,Type-C,V5.3,Yes,No,No
Air Max 2 Wireless Bluetooth Headphones,https://priceoye.pk/wireless-earbuds/assorted/air-max-2-wireless-bluetooth-headphones,1899,Yes,Yes,No,V5.3,Yes,150mAh,No
Yolo Yopod Prime Wireless Earbuds,https://priceoye.pk/wireless-earbuds/yolo/yolo-yopod-prime-wireless-earbuds,4299,Yes,Yes,Type-C,V5.3,Yes,35mAh,400mAh
Sigma Wireless Earbuds A-1 ANC and ENC,https://priceoye.pk/wireless-earbuds/sigma/sigma-wireless-earbuds-a-1-anc-and-enc,5099,Yes,Yes,Type-C,V5.4,Yes,35mAh,400mAh
Buds Live TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/buds-live-tws-wireless-earbuds,2299,No,Yes,Type-C,V5.2,Yes,No,No
MONSTER AIRMARS XKT02 True Wireless Bluetooth Earphones,https://priceoye.pk/wireless-earbuds/monster/monster-airmars-xkt02-true-wireless-bluetooth-earphones,3749,Yes,No,No,v5.1,Yes,40*2 mAh,300mAh
Price List of Zero Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/zero,3799,No,No,No,No,No,No,No
Price List of Ronin Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/ronin,4899,No,No,No,No,No,No,No
Morui GM-A7 Coolpods Wireless Earbuds,https://priceoye.pk/wireless-earbuds/morui/morui-gm-a7-coolpods-wireless-earbuds,2999,Yes,No,Type-C,V5.3,Yes,No,No
Ronin Mist R-7055 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/ronin/ronin-mist-r-7055-wireless-earbuds,4319,No,Yes,Type-C,V5.3,Yes,30mAh,250mAh
Yolo mercury H1 Wireless Headphones,https://priceoye.pk/wireless-earbuds/yolo/yolo-mercury-h1-wireless-headphones,6349,Yes,No,Type-C,V5.4,No,30 mAh,No
Morui ME-06 Power Neckband,https://priceoye.pk/wireless-earbuds/morui/morui-me-06-power-neckband,2299,Yes,No,Type-C,V5.3,Yes,No,No
LED display,https://priceoye.pk/wireless-earbuds/assorted/portable-true-wireless-earbuds-yd03,1649,No,No,No,v5.1,Yes,No,No
HiFuture FutureMate Pro Wireless Open Ear Earphones,https://priceoye.pk/wireless-earbuds/hifuture/hifuture-futuremate-pro-wireless-open-ear-earphones,10299,Yes,Yes,Type-C,V5.2,Yes,No,No
Buds Plus TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/buds-plus-tws-wireless-earbuds,2499,No,No,Type-C,V5.2,Yes,25mAh,No
Zero Rover Wireless Earbuds,https://priceoye.pk/wireless-earbuds/zero/zero-rover-wireless-earbuds,3949,Yes,Yes,Type-C,V5.2,Yes,40mAh,600mAh
QCY Melobuds 2 N50 ANC Earbuds,https://priceoye.pk/wireless-earbuds/qcy/qcy-melobuds-2-n50-anc-earbuds,6149,Yes,No,Type-C,V5.4,Yes,No,380mAh
Q20 LCD TWS Wireless  Earbuds,https://priceoye.pk/wireless-earbuds/assorted/q20-lcd-tws-wireless-earbuds,1999,Yes,No,Type-C,V5.4,Yes,25mAh,500 mAh
Price List of Xiaomi Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/xiaomi,5999,No,No,No,No,No,No,No
Soundpeats Space Headphones ANC,https://priceoye.pk/wireless-earbuds/soundpeats/soundpeats-space-headphones,10299,Yes,Yes,Type-C,V5.3,Yes,No,No
Joyroom R-TS3 True Wireless Sleep Earbuds,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-r-ts3-true-wireless-sleep-earbuds,8399,Yes,No,No,V5.3,Yes,30mAh,400mAh
JBL Tune 520BT Wireless Headphones,https://priceoye.pk/wireless-earbuds/jbl/jbl-tune-520bt-wireless-headphones,10199,No,Yes,Type-C,V5.3,Yes,30 mAh,No
Anker Soundcore Liberty 5 Earbuds,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-liberty-5-earbuds,19199,Yes,Yes,Type-C,V5.4,Yes,No,580mAh
Fun 5 True Wireless TWS Earbuds,https://priceoye.pk/wireless-earbuds/assorted/fun-5-true-wireless-tws-earbuds,1899,No,No,Type-C,V5.4,Yes,40mAh,350 mAh
Amgras Future V Pro TWS Bluetooth earbuds,https://priceoye.pk/wireless-earbuds/assorted/amgras-future-pro-v,1599,No,Yes,Type-C,V5.3,Yes,No,No
Buds Pro 5 Tws Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/buds-pro-5-tws-wireless-earbuds,1749,Yes,No,Type-C,V5.2,Yes,No,400mAh
Monster N-Lite 206 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/monster/monster-n-lite-206-wireless-earbuds,5499,No,Yes,Type-C,V5.4,Yes,35mAh,300mAh
Oraimo SpaceBuds Neo True Wireless Earbuds (OTW-323),https://priceoye.pk/wireless-earbuds/oraimo/oraimo-spacebuds-neo-true-wireless-earbuds-otw-323,2949,Yes,Yes,Type-C,V5.4,Yes,No,No
Price List of Audionic Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/audionic,9989,No,No,No,No,No,No,No
Anker Soundcore Space One Pro Headphones,https://priceoye.pk/wireless-earbuds/anker/anker-soundcore-space-one-pro-headphones,33799,Yes,Yes,Type-C,V5.3,Yes,No,No
Bluks BX-Air Pro 2 Wireless Earbuds,https://priceoye.pk/wireless-earbuds/bluks/bluks-bx-air-pro-2-wireless-earbuds,2399,Yes,No,Type-C,V5.1,Yes,30mAh,300mAh
Oraimo SpaceBuds Pro True Wireless Earbuds (OTW-930),https://priceoye.pk/wireless-earbuds/oraimo/oraimo-spacebuds-pro-true-wireless-earbuds-otw-930,17999,Yes,Yes,Type-C,V5.4,Yes,No,No
Price List of Lenovo Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/lenovo,3299,No,No,No,No,No,No,No
Price List of Airox Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/airox,2699,No,No,No,No,No,No,No
F300 OWS Sports Ear Clip Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/f300-ows-sports-ear-clip-wireless-earbuds,1599,Yes,No,Type-C,V5.3,Yes,No,No
Faster Rove S8 Anc Headphone,https://priceoye.pk/wireless-earbuds/faster/faster-rove-s8-anc-headphone,5399,Yes,No,Type-C,V5.3,No,50mAh,280mAh
Price List of Assorted Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/assorted,1849,No,No,No,No,No,No,No
DDK 339 Wireless Bluetooth Headphones,https://priceoye.pk/wireless-earbuds/assorted/ddk-339-wireless-bluetooth-headphones,2099,No,No,Type-C,V5.2,Yes,No,No
A04 TWS Wireless Earbuds,https://priceoye.pk/wireless-earbuds/assorted/a04-tws-wireless-earbuds,1899,Yes,Yes,Type-C,V5.0,Yes,No,No
Joyroom MG-C05 Bluetooth TWS Wireless Headset,https://priceoye.pk/wireless-earbuds/joyroom/joyroom-mg-c05-bluetooth-tws-wireless-headset,3499,Yes,Yes,No,V5.2,Yes,No,No
Price List of Soundpeats Wireless Earbuds in Pakistan,https://priceoye.pk/wireless-earbuds/soundpeats,10299,No,No,No,No,No,No,No
